Text,true_label,predicted_label
halkan waa qaab kale oo qoraalka loo dhigay iyadoo la beddelay dhowr kelmadood laakiin si sax ah loo ilaaliyay macnihii iyo dhererkii jumlado kasta booliiska magaalada madrid ayaa xabsiga dhigay nin 53 sano jir ah oo u dhashay dalka colombia kaas oo lagu tuhmayo inuu muuqaallo qarsoodi ah ka duubay haweenka goonooyinka qaba si uu ugu bartilmaameedsado cawradooda isagoo markaa ka dibna intooda badan soo geliyay onlineka ninkan ayaa la tilmaamay inuu isticmaalayay talefanka gacanta oo uu ku dhex qariyay boorsada dhabarka lagu qaato sida laga soo xigtay booliiska wuxuu mareegaha internetka ku baahiyay ugu yaraan 283 muuqaal kuwaas oo la daawaday malaayiin jeer in ka badan 555 dumar ah oo si dhuumasho ah muuqaallo looga duubay ayaa qaar badan oo ka mid ah lagu sheegay inay ahaayeen gabdho ka yar 20 sano kuwaas oo intooda badan lagu dhex dhibateeyay khadadka tareennada eedaysanaha ayaa la sheegay inuu maalin walba duubi jiray haweenka goonooyinka qaba tan iyo xagaagii xilligaas oo uu bilaabay inuu muuqaalladaas onlineka geliyo waxaa sidoo kale lagu eedeeyay inuu mararka qaar bartilmaameedsan jiray dumarka dhex jooga suuqyada isagoo isku dayi jiray inuu salaamo ama barto si uu uga duubto muuqaal si cad u muujinaya cawradooda ciidanka ammaanka ayaa dabogal ku sameeyay ninkan laga shakisan yahay waxayna qabteen isagoo haweenay ka duubaya goob laga raaco tareenka dheereeya muuqaal ay booliiska qaranku soo dhigeen twitterka ayaa lagu sheegay in ninkan laga shakisan yahay uu yahay mid ka mid ah dadkii geystay meel ka dhacii ugu weynaa ee dhanka duubista cawrada dumarka booliiska ayaa gacanta ku dhigay laptop iyo aalado kale oo xogta lagu kaydiyo oo ay ku jireen boqollaal muuqaal halka barta uu ninkaasi leeyahay ay iska diiwaangeliyeen 3519 qof ninkan eedaysanaha ah ayaa hadda ku jira xabsiga dhexdiisa dalka spain ayaa ficilkan u aqoonsan dambi galmo oo ka dhan ah haweenka goonooyinka qaba ee cawradooda la duubto dadka ku kaca dambigaasna xabsi ayaa la dhigi karaa sidoo kale waddamada england iyo wales ayaa dhowaan dambi ka dhigay arrintan ka dib olole weyn oo ay billawday gina martin,AI,HUMAN
maalmihii la soo dhaafay waxaa magaalada muqdisho si weyn uga socday hadalheynta banaanbax lagu sheegay in lagu abaabulayay baraha bulshada kaas oo maanta oo ku beegneyd 18ka bisha la filayay inuu dhaco saaka ayay shacabka magaalada ku soo tooseen iyadoo ciidamo boolis ah oo ku hubeysan gaadiidka dagaalka la geeyay jidadka waaweyn ee magaalada warbixintan waxaa muqdisho ka soo dirtay wariyaha voada seynab abuukar maxamed,AI,HUMAN
kulan dhexmaray saraakiil sare oo ka tirsan maamulka biden iyo dhigooda shiinaha waa fursaddii ugu horeysay ee foolkafool ah oo lagu cabiro dhaq dhaqaaqa xiriirka labada dal xoghayaha arrimaha dibadda ee mareykanka antony blinken iyo la taliyaha dhanka amniga qaranka jake sullivan ayaa alaska kula kulmi doono diblumaasiga ugu sareeya shiinaha yang jiechi iyo wasiirka arrimaha dibadda wang yi kahor kulanka mr blinken wuxuu xusay in tani aysan ahayn istiraatiijiyad wadahadal mana jirin hadaf laga leeyahay  sida uu sheegay wax qabadyadan haddii ay tahay in ay raacaan runti waa in ay ku saleysnaadaan soo jeedinta ah in aan aragno horumar la taaban karo iyo natiijooyin la taaban karo oo ku saabsan arrimaha naga khuseeya shiinaha xiriirka mareykanka iyo shiinaha waa kii ugu xumaa ee soo mara muddo sanado ah waxayna umuuqataa in uu sii xumaanayo weli waxay noqotay wax iska caadi ah in lagu tilmaamo xiriirka mareykanka iyo shiinaha inuu yahay dagaal qabow oo cusub oo tixraac u ah loolanka u dhexeeya mareykanka iyo midowgii soofiyeet haddii dagaalkii qaboobaa uu micnihiisu yahay halgan weyn oo ku lug leh dhammaan dhinacyada awoodda qaran ee u dhexeeya laba nidaam siyaasadeed oo aan iswaafaqi karin markaa si cad tartanka mareykanka iyo shiinaha wuxuu leeyahay dhawaqyo iska horimaadkii mareykanka iyo soofiyeeti la mid ah istiraatiijiyadda kumeelgaarka ah ee maamulka biden ayaa la sii daayay horraantii bishan waxaana lagu xusay in shiinaha uu yahay dalka keliya ee u babac dhigi kara mareykanka haddii ay noqon lahayd awoodiisa dhaqaale diblomaasiyadeed militari iyo teknoolojiyadeed ba si loo wajaho caqabadda joogtada ah ee nidaamka caalamiga ah ee xasilloon oo furan shiinaha wuxuu qaatay mowqif muujinaya rabitaanka xiriir wanaagsan iyadoo uu sii laba jibaarayo danihiisa gaarka ah ee dimuqraadiyadda ka soo horjeedda gaar ahaan arrimaha hong kong iyo caburinta aan xishoodka lahayn ee muslimiinta uighur ee laga tirada badan yahay ayaa lagu sheegay qoraalka mr blinken beijing mararka qaar waxay lumisaa fursad ay ku tilmaamto xanuunnada nidaamka mareykanka wuxuu shiinaha ku guul darreystay maaraynta musiibada xanuunka covid19 mudadii uu xilka hayey madaxweynihii hore donald trump marka la eego ereyada kor ku xusan waxaa laga yaabaa in sumadda dagaalkii qaboobaa ay u muuqato mid sax laakiin sidee ayey faaiido u leedahay runti dagaalkii qaboobaa ee asalka ahaa midowgii soofiyeeti iyo xulafadiisii ââinta badan waxay ka godoonsanaayeen dhaqaalaha adduunka waxaana aasaas u ahaa xanibidda dhoofinta agabka taas bedelkeeda shiinaha ayaa ah isha dhaqaalaha adduunka dhaqaalihiisuna wuxuu si qoto dheer ugu dhex milmay kan mareykanka in kasta oo dagaalkii qaboobaa ee hore uu lahaa aragti farsamo oo muhiim ah  sida hubka iyo tartanka hawada sare  balse loollanka cusub ee mareykanka iyo shiinaha wuxuu ku lug leeyahay teknoolojiyadaha muhiimka ah ee sii hormarin doonaa bulshadeenna mustaqbalka sida sirdoonka macmalka ah iyo 5g xaaladda guud ee adduunku way ka duwan tahay dagaalkii qaboobaa adduunka waxaa loo qaybiyey laba xero laakiin qaabka dagaalkii qaboobaa waa mid qoto dheer oo qatar ku ah ixtiraamka aasaasiga ah dagaalkii qaboobaa wuxuu ahaa halgan siyaasadeed oo aan wadar ahaan lagu soo koobi karin oo dhinac walba uu ku diiday sharci ahaanshaha kan kale in kasta oo mareykanka iyo midowgii soofiyeeti ay dhif iyo naadir tahay in ay wax garaacaan haddana dad aad u tiro badan ayaa ku lumay isku dhacyada wakiillada adduunka shiinaha in kastoo uusan ahayn midowgii soofiyeeti haddana aad ayuu uga awood badan yahay markii ugu sarreysey koboca dhakhliga gudaha ee midowgii soofiyeeti wuxuu ahaa boqolkiiba 40 marka loo barbardhigo kan mareykanka hase yeeshee shiinaha wuxuu yeelan doonaa dhakhli la mid ah kan mareykanka toban sano gudahood tartanka shiinaha waa midkii ugu adkaa ee mareykanka uu wajahayo tan iyo qarnigii 19aad dhibaatada shiinaha iyo madaxweyne biden waa mid adag ujeeddooyinkiisa siyaasadeed ee arrimaha dibadda ayaa dhaqso u wajahaya beijing laakiin inkasta oo nooca tartanka uusan aheyn mid la dhayalsan karo haddana waa inaan laga badbadin mareykanku miyuu ka soo kaban karaa fowdadii trump oo dib ma u soo nooleyn karaa dimuqraadiyaddiisa miyuu ku qancin karaa xulafadiisa in mareykanka uu si rasmi ah dib ugu soo laabtay sidiisii hore isagoo ah laacib lagu kalsoonaan karo masraxa adduunka mareykankana si dhaqso ah ma u ballaarin karaa saldhigiisa waxbarasho iyo tiknolojiyadiisaba shiinaha ma la qabsan karaa koritaanka dhaqaalaha oo gaabis ah iyo dadka dada ah xisbiga shuuciga ah miyuu awoodi doonaa inuu soo ceshto daacadnimada iyo taageerada bulshada shiinaha muddada fog shiinaha wuxuu leeyahay awood badan laakiin sidoo kale nuglaansho badan mareykanka wuxuu leeyahay daciifnimo weyn laakiin sidoo kale firfircoonaan badan waa ciyaaryahanno adduunka muhiim u ah iyo guud ahaan nolosheena oo dhan,HUMAN,AI
magaalada muqdisho gaar ahaan daljirka daahsoon waxaa maanta ka dhacay banaanbax lagu taageerayo guusha soomaaliya ee dacwadda badda ee kala dhaxeysa kenya kadib markii maxkamadda hague ay ogolaatay qaadista kiiskaas banaanbaxan waxaa kasoo qeybgalay masuuliyiinta gobolka banaadir oo uu ugu horeeyo guddoomiye kuxigeenka siyaasadda iyo amniga maxamed axmed diiriye yabooh gudoomiyeyaasha degmooyinka ururka haweenka kooxda fanka iyo dadweyne laga kala keenay degmooyinka gobolka shacabkii banaanbaxay ayaa tilmaamay inay yihiin bulsho soomaaliyeed oo isku duuban oo heysata dowlad awood leh iyagoo xusay in kenya ay hore u hoos imaan jirtay soomaaliya balse ay hadda isku dayeyso inay boobto badda intii soomaaliya ay dhibaateysneyd waxay rajeynayaan in badda soomaaliya ay ka guuleysan doonto kenya maadaama qareenada u doodaya soomaaliya ay yihiin kuwo aqoon u leh kiisaska noocan oo kale ah jawaahir baarqab oo ah guddoomiyaha ururka haweenka gobolka banaadir ayaa carrabka ku adkeysay inaan muran ka jiri karin badda waxayna sheegtay in rag u sharaxan madaxweynanimo ay ka dambeeyaan muranka badda guddoomiye kuxigeenka siyaasadda iyo amniga gobolka banaadir maxamed axmed diiriye yabooh oo soo xiray kulanka ayaa sheegay in shacabka gobolka banaadir oo wakiil ka ah gobolada kale ay maanta muujiyeen farxad la xiriirta guusha soomaaliya ka gaartay dacwadda kenya wuxuu intaas ku daray in rajo wanaagsan iyo niyadsami ay shacabka soomaaliyeed u qabaan dacwaddan oo meel walba laga hadal hayo dowladda kenya ayaa sheegata qeyb ka mid ah badda soomaaliya iyadoo ku doodeysa inay heshiis ka gashay madaxdii dowladdii kmg ahayd,AI,HUMAN
kulanka todobaadlaha ah ee guddi hoosaadka amniga golaha wasiirrada oo uu shir guddoomiyay raiisul wasaaraha xukuummadda federaalka soomaaliya xasan cali khayre ayaa looga hadlay arrimaha ammaanka dibuhabaynta ciidanka iyo dardargelinta diiwaangelinta ciidamada kulanka ayaa lagu shaaciyay in lagu guulaystay qorshahii ay soo bandhigtay wasaaradda amniga gudaha ee ciidamda hubaysan ee nisa loogu wareejinayay taliska booliiska iyada oo la tixraacayo goaankii ay gaareen golaha wasiirrada 26kii luulyo 2018 ee farayay in ciidamada booliisku la wareegaan hoggaanka sugidda amniga ayaa waxaa dhammaan ciidamada nabad sugidda iyo hubkoodii marka laga reebo ciidamada howlgallada gaarka ah fuliya  lagu wareejiyay taliska booliska soomaaliyeed kulanka maanta oo ay goob joog ka ahaayeen taliyaasha ciidamada ayaa sidoo kale looga hadlay dardargelinta diiwaangelinta ciidamada gaar ahaan nidaamka casriga ah ee kaydinta xogta shakhsiga si loo fududeeyo xuquuqdooda klanka ayaa lagu falanqeeyay qorshaha sugidda amniga iyo dibudhiska garoonka ciyaaraha muqdisho waxaana taliska booliiska soomaaliyeed uu soo bandhigay qorshe faahfaahsan oo suura gelinaya in garoonka lagu ciyaaro ammaankiisana la sugo,HUMAN,AI
magaalada caasimadda soomaaliya ee muqdisho waxaa lagu qeexaa iskudarka caqabadaha iyo fursadaha isku dhafan iyadoo ay jiraan dhibaatooyin siyaasadeed iyo dhaqaale soomaalidu waxay halabuur samaynayaan si ay u jebiyaan wareegga dabadheeraada ee nuglaanta dad badan oo ay taageerayaan qurbajoogta caalamiga ah ee soomaalida dadka muqdisho waxay adeegsanayaan tignoolajiyada si ay u xalliyaan dhibaatooyinka una helaan suuqyo cusub hal hindise oo diyaar u ah in la dedejiyo tan waa xarunta tiknoolajiyadda irise oo ah xarunta ugu horreysa ee halabuurka ee muqdisho oo uu aasaasay awil osman irise waxay isku xirtaa ganacsatada halabuurka iyo shirkadaha cusub si ay u wadaagaan fikradaha oo ay uga wada shaqeeyaan arrimo kala duwan oo u dhexeeya horumarinta shirkad cunto oo online ah ilaa abuurista meel bannaan oo ay soomaalidu ku abuuri karaan fikrado fikradda soomaalida ee ilawadaag  oo loo tarjumay aniga ila wadaag  ayaa lagu dhaqan geliyay irise si ay uga caawiso ganacsatada inay helaan jawaab celin iyo inay la xiriiraan halabuurayaasha kale irise waxay si wadajir ah u fududeysay xero halabuur oo ay la leedahay undp sebtembarkii la soo dhaafay waxayna bilaabi doontaa barnaamijkeedii ugu horreeyay ee halabuurka ee ganacsatada maxalliga ah toddobaadkan iyadoo caqabad ku ah fikradda ah in xarumaha tiknoolajiyadda iyo goobaha waxabuurka ay ku kooban yihiin waddamada dakhligoodu sarreeyo xayeysiisyo iyada oo la adeegsanayo taageerada saxda ah waxaa jira suurtagalnimo weyn oo lagu heli karo xalal dijitaal ah oo gudaha lagu sameeyo tusaalooyinka jira waxaa ka mid ah baahsanaanta sare iyo isticmaalka lacagta moobaylka taas oo u oggolaanaysa bulshooyinka miyiga iyo kuwa aan la geli karin inay helaan xawilaad iyo taageero biniaadamnimo adeegga aamin ambulance oo ah adeeg ambalaas oo 24saacadood ah oo ka jira muqdisho waa hayadda kaliya ee jawaabcelinta ugu horreysa madal khariidadaynta dhibaatooyinka abaaraha waxay siisaa jawaabbixiyeyaasha gargaarka macluumaad juqraafiyeed oo waqtigeeda ku habboon kiisaskan waxay muujinayaan baaxadda halabuurka kaas oo aan ka gonayn caqabadaha macnaha leh ee ka jira muqdisho intii lagu jiray qaraxii banaa ee oktoobar 2017 irise waxay ku mashquulsanayd iskudubaridka dadaallada waxayna dhistay xarun wicitaan oo degdeg ah oo qaran iyo koox taageero macluumaad iyadoo la kaashanaysa hawlwadeennada moobaylka dowladda iyo bulshada rayidka ah hindisayaashani ma suurtoobi kareen iyada oo aan lahayn internetka internetku wuxuu xirfado maxalli ah u keenaa suuq caalami ah xalalka caqabadaha soomaaliyana si fudud ayay u heli karaan codsiyada meelo kale si kastaba ha ahaatee hal meel oo dib u dhacday soomaaliya waa helitaanka xog la isku halleyn karo oo khuseysa si loo taageero hirgelinta ganacsiyada iyo mashaariicda bulshada qalabka furan sida openstreetmap waxay leeyihiin awood ay ku caawiyaan halabuurayaasha inay ka gudbaan caqabaddan iyagoo abuuraya xalal cusub oo lagu galo oo lagu soo saaro xog aad waxtar u leh in kasta oo arrintani aysan weli ka hirgelin waaxda gaarka loo leeyahay ee afrika haddana mashaariicda sida khariidadaha maqan iyo kooxda biniaadamnimada ee openstreetmap ayaa muujiyay awoodda shaqo samafal iyo horumarineed haddana xaddidaadaha lagu hayo horumarinta xirfadaha dhijitaalka ah waa kuwo muhiim ah in kasta oo dad badan oo deggan ay helayaan internet xawaare sare leh haddana waxaa jira fursado xaddidan oo lagu heli karo xirfadaha loo baahan yahay si loogu guuleysto dhaqaalaha dhijitaalka ah intaa waxaa dheer iyadoo dowladda soomaaliya ay ururinayso dakhli badan oo ka imanaya waaxyadeeda dhaqameed waxay noqotay mid muhiim u ah dalka inuu kala duwanaado dhaqaalihiisa iyada oo loo marayo halabuurro dhijitaal ah iyada oo ay taageerayaan deeq yar oo ka timid sanduuqa halabuurka dhallinyarada ee bangiga adduunka iyo tabarucaad ka timid kooxda horumarinta dijitaalka ah waxaan la shaqeyneynaa irise si aan u horumarinno xirfadahan una oggolaanno dhallinyarada muqdisho inay ka shaqeeyaan halabuurrada horumarinta nolosha bangigu wuxuu sidoo kale taageerayaa caqabadda halabuurka watt ee muqdisho kaas oo ujeeddadiisu tahay in la soo saaro oo la taageero halabuurayaasha tamarta ee guud ahaan soomaaliya kuwaas oo laga yaabo inay haystaan xalado bixiya tamar la awoodi karo la isku halleyn karo iyo waara iyada oo loo marayo ilo cusub iyo in la isticmaalo qaabab ganacsi oo halabuur leh si loo hagaajiyo helitaanka tamar nadiif ah,HUMAN,AI
koox burcad ah ayaa magaalada pretoria ee koonfur afrika habeenkii xalay ku gubay dukaan ay lahaayeen labo dhalinyaro soomaali ah axmed bedel ayaa weerarkan ku geeriyooday halka cabdi shukri oo dhaawac ah lagu daaweynayo isbitaal kadib markii kooxda ay saqdii dhexe weerarka kusoo qaadeen goobta ganacsi booliiska oo helay wargelin uga timid dadka degaanka ayaa gacanta ku dhigay labo ka mid ah burcaddii falka geysatay sida ay booliisku u sheegeen warbaahinta qaranka waxaa socda baaritaanno la xiriira dhacdadan iyadoo wararka qaar ay sheegayaan in qaar kamid ah dambiilayaasha ay u dhasheen dalka zimbabwe jaaliyadda soomaaliyeed ayaa si kulul u cambaareysay falkan waxayna codsadeen in sharciga la horgeeyo ciddii ka dambaysay tacaddigan,AI,HUMAN
waxaa dalka suuriya ka socda qabanqaabada bannaanbaxyo waaweyn iyadoo hoggaamiyeyaasha mucaaradku ay ku boorinayaan dalalka reer galbeedka inay hakinayaan duqeymaha ay ka wadaan halkaas kadib dhimashadii dad rayid ah oo ku dhintay duqeymo dhacay talaadadii duqeyn dhinaca cirka ah oo ka dhacday nawaaxiga magaalada ay daacish ku xooggan tahay ee manbij ayaa waxaa ku geeriyooday 56 qof oo rayid ah kuna jiraan carruur sida ay xaqiijisay hayadda xuquuqda aadanaha suuriya ururada bulshada rayidka ah ayaa baraha bulshada u adeegsanaya maanta sidii ay usoo abaabuli lahaayeen dareen caalami ah oo looga dalbanayo dadweynaha inay soo baxaan si ay u muujiyaan dareenkooda ku aaddan dhibaatada shacabka suuriya qaar kamid ah boggaga bulshada suuriya ayaa ku baaqay bannaanbaxyo looga soo horjeedo xasuuqa ay diyaaradaha isbaheysiga ka wadaan suuriya dhanka kale baraha wararka suuriya ayaa sidoo kale baahiyey qaar ka mid ah sawirrada muujinaya dadkii rayidka ahaa ee la laayay,AI,HUMAN
muqdisho  wasaaradda isgaarsiinta iyo teknoolojiyadda ee soomaaliya ayaa soo jeedisay in la xiro baraha isgaarsiinta bulshada ee tiktok telegram iyo 1xbet goaankan ayaa yimid kadib shir wadatashi ah oo ay ka yeesheen dhinaca bedqabka isgaarsiinta ilaalinta amniga internetka iyo adeegyada baraha bulshada kaas oo ay iskugu yimaadeen madaxda wasaaradda heyadda isgaarsiinta qaranka iyo madaxda shirkadaha isgaarsiinta ee dalka wasaaradda ayaa shirkadaha isgaarsiinta ee internetka bixiya siisay illaa khamiista soo socota inay ku joojiyaan adeegga internetka ee barahaas bulshada haddaba goaankan iyo waxa loo cuskaday ayaa haaruun macruuf uu ka waraystay wasiirka isgaarsiinta iyo teknoolajiyada jaamac xasan khaliif,HUMAN,AI
magaalada cadaado oo ah xarunta galmudug ayaa maanta lagu doortay saddex mudane oo ka mid noqonaya baarlamaanka federaalka soomaaliya mudanayaasha la doortay waxaa ka mid ah ku xigeenkii hore ee duqa muqdisho warsame maxamed xasan joodax warsame joodax oo ahaa wasiirka dhallinyarada iyo ciyaaraha galmudug ayaa ku guuleystay kursiga kadib markii uu helay 26 cod sidoo kale joodax wuxuu horey u soo noqday guddoomiye ku xigeenka siyaasadda iyo amniga ee gobolka banaadir xilligii maxamuud axmed tarzan dhanka kale cabdikariin khaliif dhalac ayaa isna guuleystay isagoo helay 35 cod wuxuuna ka adkaaday col xasan maxamuud cali iyo cabdulqaadir jaamac qalabxoor doorasho kale oo ay ku tartamayeen laba musharrax ayaa waxaa ku guuleystay cabdiweli maxamed qanyare oo helay 48 cod,AI,HUMAN
