Text,true_label,predicted_label
halkan qaab qoraalka dhigay beddelay kelmadood sax ilaaliyay macnihii dhererkii jumlado booliiska madrid xabsiga dhigay nin 53 dhashay colombia tuhmayo muuqaallo qarsoodi duubay haweenka goonooyinka qaba bartilmaameedsado cawradooda dibna intooda geliyay onlineka ninkan tilmaamay isticmaalayay talefanka gacanta dhex qariyay boorsada dhabarka qaato xigtay booliiska mareegaha internetka baahiyay yaraan 283 muuqaal daawaday malaayiin jeer 555 dumar dhuumasho muuqaallo duubay sheegay gabdho 20 intooda dhex dhibateeyay khadadka tareennada eedaysanaha sheegay duubi haweenka goonooyinka qaba xagaagii xilligaas bilaabay muuqaalladaas onlineka geliyo eedeeyay bartilmaameedsan dumarka dhex jooga suuqyada dayi salaamo barto duubto muuqaal cad muujinaya cawradooda ciidanka ammaanka dabogal sameeyay ninkan shakisan qabteen haweenay duubaya goob raaco tareenka dheereeya muuqaal booliiska qaranku dhigeen twitterka sheegay ninkan shakisan dadkii geystay meel dhacii weynaa duubista cawrada dumarka booliiska gacanta dhigay laptop aalado xogta kaydiyo boqollaal muuqaal halka barta ninkaasi diiwaangeliyeen 3519 ninkan eedaysanaha xabsiga dhexdiisa spain ficilkan aqoonsan dambi galmo haweenka goonooyinka qaba cawradooda duubto kaca dambigaasna xabsi dhigi waddamada england wales dhowaan dambi dhigay arrintan olole weyn billawday gina martin,AI,HUMAN
maalmihii dhaafay muqdisho weyn socday hadalheynta banaanbax sheegay abaabulayay baraha bulshada maanta beegneyd 18ka filayay dhaco saaka shacabka tooseen ciidamo boolis hubeysan gaadiidka dagaalka geeyay jidadka waaweyn warbixintan muqdisho dirtay wariyaha voada seynab abuukar maxamed,AI,HUMAN
kulan dhexmaray saraakiil sare tirsan maamulka biden dhigooda shiinaha fursaddii horeysay foolkafool cabiro dhaq dhaqaaqa xiriirka labada xoghayaha arrimaha mareykanka antony blinken taliyaha amniga qaranka jake sullivan alaska kulmi diblumaasiga sareeya shiinaha yang jiechi wasiirka arrimaha wang yi kulanka mr blinken xusay istiraatiijiyad wadahadal hadaf sheegay qabadyadan raacaan runti saleysnaadaan jeedinta aragno horumar taaban natiijooyin taaban saabsan arrimaha khuseeya shiinaha xiriirka mareykanka shiinaha xumaa mara muddo sanado umuuqataa xumaanayo caadi tilmaamo xiriirka mareykanka shiinaha dagaal qabow cusub tixraac loolanka dhexeeya mareykanka midowgii soofiyeet dagaalkii qaboobaa micnihiisu halgan weyn lug dhinacyada awoodda qaran dhexeeya nidaam siyaasadeed iswaafaqi cad tartanka mareykanka shiinaha dhawaqyo horimaadkii mareykanka soofiyeeti istiraatiijiyadda kumeelgaarka maamulka biden daayay horraantii bishan xusay shiinaha babac dhigi mareykanka awoodiisa dhaqaale diblomaasiyadeed militari teknoolojiyadeed ba wajaho caqabadda joogtada nidaamka caalamiga xasilloon furan shiinaha qaatay mowqif muujinaya rabitaanka xiriir wanaagsan jibaarayo danihiisa gaarka dimuqraadiyadda horjeedda gaar arrimaha hong kong caburinta xishoodka muslimiinta uighur tirada sheegay qoraalka mr blinken beijing lumisaa fursad tilmaamto xanuunnada nidaamka mareykanka shiinaha guul darreystay maaraynta musiibada xanuunka covid19 mudadii xilka hayey madaxweynihii donald trump eego ereyada xusan yaabaa sumadda dagaalkii qaboobaa muuqato sax faaiido runti dagaalkii qaboobaa asalka midowgii soofiyeeti xulafadiisii ââinta godoonsanaayeen dhaqaalaha adduunka aasaas xanibidda dhoofinta agabka bedelkeeda shiinaha isha dhaqaalaha adduunka dhaqaalihiisuna qoto dheer dhex milmay mareykanka dagaalkii qaboobaa aragti farsamo muhiim hubka tartanka hawada sare loollanka cusub mareykanka shiinaha lug teknoolojiyadaha muhiimka hormarin bulshadeenna mustaqbalka sirdoonka macmalka 5g xaaladda adduunku duwan dagaalkii qaboobaa adduunka qaybiyey xero qaabka dagaalkii qaboobaa qoto dheer qatar ixtiraamka aasaasiga dagaalkii qaboobaa halgan siyaasadeed wadar koobi dhinac diiday sharci ahaanshaha mareykanka midowgii soofiyeeti dhif naadir garaacaan tiro lumay dhacyada wakiillada adduunka shiinaha kastoo midowgii soofiyeeti awood sarreysey koboca dhakhliga midowgii soofiyeeti boqolkiiba 40 barbardhigo mareykanka shiinaha yeelan dhakhli mareykanka gudahood tartanka shiinaha midkii adkaa mareykanka wajahayo qarnigii 19aad dhibaatada shiinaha madaxweyne biden adag ujeeddooyinkiisa siyaasadeed arrimaha dhaqso wajahaya beijing nooca tartanka dhayalsan badbadin mareykanku kaban fowdadii trump nooleyn dimuqraadiyaddiisa qancin xulafadiisa mareykanka rasmi laabtay sidiisii laacib kalsoonaan masraxa adduunka mareykankana dhaqso ballaarin saldhigiisa waxbarasho tiknolojiyadiisaba shiinaha qabsan koritaanka dhaqaalaha gaabis dada xisbiga shuuciga awoodi ceshto daacadnimada taageerada bulshada shiinaha muddada fog shiinaha awood nuglaansho mareykanka daciifnimo weyn firfircoonaan ciyaaryahanno adduunka muhiim nolosheena,HUMAN,AI
maamulka premier league faray garsoorayaasha ciyaaraha habeenkii hadlaan kabtannada kooxaha ciyaartooyda muslimiinta oggolaan affuraan ciyaartu socoto qoray sky sports 26kii april kulankii leicester city crystal palace kooban hakiyay wesley fofana cheikhou kouyate soomanaa affuraan goolhayaha crystal palace vicente guaita dhigay laad qaadi muddo daqiiqo labada ciyaaryahan affuraan qorshahaas heshiiyay kabtannada labada dhinac sheegay dhacdadii horreysay kulan premier league hakiyo ciyaartooy muslimiin sooman affuraan horyaalka ciyaara ciyaartooy muslimiin maxamed salaax sadio manã paul pogba manchester united facebook sheegtay paul pogba soonaa kulankii roma 62 garaaceen affuray ciyaartu socotay wesley fofana bogaadiyay tallaabadan sheegay muujinayso ruuxa wanaagsan kubadda cagta kulamada habeenkii premier league beegmaan xilliga affurka toddobaad horna kulan tirsanaa horyaalka heerka labaad turkiga daqiiqaddii 11aad hakiyay dhaawac ciyaaryahan gaaray fursad siisay ciyaartooyda sooman affuraan ciyaarta gzt giresunspor ankara keciorengucu arkayay ciyaaryahan timir muus cunaya halka goolhayahooduna biyo cabayay 2018 goolhayaha xulka tunisia dhigay dhaawac saaxiibbadiis helaan affuraan,AI,HUMAN
muqdisho gaar daljirka daahsoon maanta dhacay banaanbax taageerayo guusha soomaaliya dacwadda badda dhaxeysa kenya maxkamadda hague ogolaatay qaadista kiiskaas banaanbaxan qeybgalay masuuliyiinta banaadir horeeyo guddoomiye kuxigeenka siyaasadda amniga maxamed axmed diiriye yabooh gudoomiyeyaasha degmooyinka ururka haweenka kooxda fanka dadweyne keenay degmooyinka shacabkii banaanbaxay tilmaamay bulsho soomaaliyeed duuban heysata dowlad awood iyagoo xusay kenya imaan soomaaliya dayeyso boobto badda soomaaliya dhibaateysneyd rajeynayaan badda soomaaliya guuleysan kenya qareenada doodaya soomaaliya aqoon kiisaska noocan jawaahir baarqab guddoomiyaha ururka haweenka banaadir carrabka adkeysay muran badda sheegtay rag sharaxan madaxweynanimo dambeeyaan muranka badda guddoomiye kuxigeenka siyaasadda amniga banaadir maxamed axmed diiriye yabooh xiray kulanka sheegay shacabka banaadir wakiil gobolada maanta muujiyeen farxad xiriirta guusha soomaaliya gaartay dacwadda kenya daray rajo wanaagsan niyadsami shacabka soomaaliyeed qabaan dacwaddan meel hadal hayo dowladda kenya sheegata qeyb badda soomaaliya doodeysa heshiis gashay madaxdii dowladdii kmg,AI,HUMAN
kulanka todobaadlaha guddi hoosaadka amniga golaha wasiirrada shir guddoomiyay raiisul wasaaraha xukuummadda federaalka soomaaliya xasan cali khayre hadlay arrimaha ammaanka dibuhabaynta ciidanka dardargelinta diiwaangelinta ciidamada kulanka shaaciyay guulaystay qorshahii bandhigtay wasaaradda amniga ciidamda hubaysan nisa wareejinayay taliska booliiska tixraacayo goaankii gaareen golaha wasiirrada 26kii luulyo 2018 farayay ciidamada booliisku wareegaan hoggaanka sugidda amniga ciidamada nabad sugidda hubkoodii reebo ciidamada howlgallada gaarka fuliya wareejiyay taliska booliska soomaaliyeed kulanka maanta goob joog taliyaasha ciidamada hadlay dardargelinta diiwaangelinta ciidamada gaar nidaamka casriga kaydinta xogta shakhsiga fududeeyo xuquuqdooda klanka falanqeeyay qorshaha sugidda amniga dibudhiska garoonka ciyaaraha muqdisho taliska booliiska soomaaliyeed bandhigay qorshe faahfaahsan suura gelinaya garoonka ciyaaro ammaankiisana sugo,HUMAN,AI
madaxweynaha dowlad goboleedka galmudug axmed ducaalle geelle xaaf filayaa dhawaan rasmi dhawaaqo guddiga xulista xildhibaanada baarlamaanka galmudug qaabka farsamada maamulka guddigan sheegay koobnaan 12 xubnood igmaday qaabeeyaan hanaanka doorashada xildhibaanada saacadihii dambeeyay xaaf kulanar yeeshay madaxweynaha dowladda federaalka soomaaliya raiisul wasaaraha heshiiyay magacaabista guddigan sameeyo raiisul wasaare kheyre sheegay hanaanka geeddisocodka galmudug wareegay madaxweyne xaaf tilmaamaysa dowladda federaalka buuxda taageerto hanaanka galmudug soconayo maalmihii dambeeyay maamulka galmudug food saaray khilaaf dhashay goaankii madaxweyne xaaf rasmi laabtay tillaabooyinkii wakiishay wasaaradda arrimaha soomaaliya tashiyada muuqdaan xalliyay khilaafka celiyay kalsoonida dowladda federaalka maamulka galmudug wadaagaan guddigan cusub filayaa tallaabo muhiim qaaday afjari murannada maamul xoojin hanaanka doorashada xildhibaanada galmudug,AI,HUMAN
muqdisho wasaaradda isgaarsiinta teknoolojiyadda soomaaliya jeedisay xiro baraha isgaarsiinta bulshada tiktok telegram 1xbet goaankan yimid shir wadatashi yeesheen dhinaca bedqabka isgaarsiinta ilaalinta amniga internetka adeegyada baraha bulshada yimaadeen madaxda wasaaradda heyadda isgaarsiinta qaranka madaxda shirkadaha isgaarsiinta wasaaradda shirkadaha isgaarsiinta internetka bixiya siisay khamiista socota joojiyaan adeegga internetka barahaas bulshada goaankan cuskaday haaruun macruuf waraystay wasiirka isgaarsiinta teknoolajiyada jaamac xasan khaliif,HUMAN,AI
cadaado xarunta galmudug maanta doortay mudane baarlamaanka federaalka soomaaliya mudanayaasha doortay xigeenkii duqa muqdisho warsame maxamed xasan joodax warsame joodax wasiirka dhallinyarada ciyaaraha galmudug guuleystay kursiga helay 26 cod joodax guddoomiye xigeenka siyaasadda amniga banaadir xilligii maxamuud axmed tarzan cabdikariin khaliif dhalac isna guuleystay helay 35 cod adkaaday col xasan maxamuud cali cabdulqaadir jaamac qalabxoor doorasho tartamayeen musharrax guuleystay cabdiweli maxamed qanyare helay 48 cod,AI,HUMAN
guddoomiyaha aqalka sare cabdi xaashi cabdullaahi khudbad jeediyay munaasabad xusayay 70 guuradii wareegtay xorriyadda china maanta qabtay muqdisho sheegay soomaaliya shiinaha dhaxeeya xiriir weyn taageerto shiinaha siisay soomaaliya sheegay shiinaha soomaaliya fulisay mashaariic weyn wadooyinka xira soomaaliya gudoomiyaha xusay muhiim celiyo xiriirkii weynaa dhaxeeya shiinaha dowladda soomaaliya maalgaliyo kaabayeyaasha dhaqaallaha,AI,HUMAN
